timestamp_ms,class,x_min,y_min,x_max,y_max
0.0,person,1690,1211,1904,1605
0.0,person,3189,1342,3437,1748
0.0,car,2292,1912,3528,2143
0.0,traffic light,517,716,692,1095
0.0,person,68,1223,257,1687
0.0,person,976,1244,1175,1697
0.0,person,204,1100,353,1416
0.0,traffic light,2872,751,2996,1070
0.0,person,3599,1174,3700,1431
0.0,person,1039,1245,1181,1702
0.0,person,3435,1166,3550,1411
0.0,car,1857,948,1966,1056
0.0,person,3005,1063,3083,1214
0.0,traffic light,2888,751,2976,854
0.0,person,1653,1051,1712,1184
33.36666666666667,person,1687,1212,1902,1606
33.36666666666667,person,3189,1345,3444,1750
33.36666666666667,car,2293,1913,3526,2144
33.36666666666667,traffic light,518,715,693,1094
33.36666666666667,person,58,1221,255,1691
33.36666666666667,person,976,1240,1167,1695
33.36666666666667,person,214,1097,356,1421
33.36666666666667,traffic light,2872,750,2996,1064
33.36666666666667,person,3601,1174,3699,1430
33.36666666666667,person,3442,1165,3552,1407
33.36666666666667,car,1857,948,1967,1056
33.36666666666667,person,3009,1064,3080,1215
33.36666666666667,traffic light,2887,751,2976,857
33.36666666666667,person,1649,1051,1710,1178
66.73333333333333,person,1696,1206,1890,1602
66.73333333333333,person,3203,1347,3456,1746
66.73333333333333,car,2293,1913,3525,2143
66.73333333333333,traffic light,517,715,694,1094
66.73333333333333,person,46,1218,251,1705
66.73333333333333,person,972,1239,1158,1696
66.73333333333333,person,218,1100,362,1418
66.73333333333333,traffic light,2872,750,2995,1070
66.73333333333333,person,3602,1175,3700,1431
66.73333333333333,person,3443,1166,3549,1407
66.73333333333333,car,1857,947,1967,1056
66.73333333333333,person,2998,1061,3078,1215
66.73333333333333,traffic light,2888,751,2976,851
66.73333333333333,person,959,1245,1102,1660
100.1,person,1700,1205,1882,1595
100.1,person,3216,1348,3464,1742
100.1,car,2293,1914,3523,2143
100.1,traffic light,517,715,696,1095
100.1,person,34,1220,245,1708
100.1,person,963,1240,1152,1689
100.1,person,220,1102,369,1420
100.1,traffic light,2872,750,2995,1075
100.1,person,3604,1176,3704,1431
